"","id","cluster","ic_ratio"
"1","1","1",0.811232672139663
"2","2","1",0.787969109297671
"3","3","2",0.788858587361892
"6","6","1",0.758848291833549
"7","7","2",0.818980094939089
"8","8","1",0.807813019303882
"20","20","2",0.792411745816251
"21","21","2",0.511329971272296
"22","22","1",0.554633363531201
"23","23","2",0.818738510809974
"24","24","2",0.813602522797445
"25","25","1",0.729696193265612
"31","31","2",0.816256145280905
"33","33","2",0.534474565301279
"34","34","2",0.768571252123363
"35","35","1",0.77284151089715
"36","36","1",0.611655142626096
"37","37","2",0.819656156305643
"38","38","1",0.818234969595902
"39","39","1",0.782302564922767
"40","40","2",0.819350446484285
"41","41","2",0.744194502029935
"42","42","1",0.731910175017191
"43","43","2",0.791751836920604
"50","50","2",0.818123092644729
"51","51","1",0.794260668592884
"52","52","2",0.812393983479262
"53","53","1",0.819877652825284
"54","54","1",0.731270415235454
"55","55","1",0.812590984535107
"61","61","2",0.824925929045807
"63","63","2",0.817341795696797
"64","64","2",0.809194030232139
"65","65","2",0.736309956089381
"66","66","1",0.772779348943669
"67","67","1",0.798336424463583
"74","74","1",0.805168295633587
"75","75","1",0.805344054187088
"76","76","1",0.765987546846577
"77","77","1",0.735332766705001
"78","78","1",0.80630687532093
"79","79","1",0.802578501235853
"84","84","1",0.707998000379002
"86","86","1",0.652110955944454
"89","89","2",0.7947928169151
"90","90","1",0.734341149804984
"91","91","2",0.814910500311424
"93","93","2",0.781912652021147
"98","98","2",0.815160153766564
"99","99","1",0.746148205347229
"100","100","1",0.812447240910911
"101","101","2",0.741936599643263
"102","102","2",0.537502189020137
"104","104","1",0.767041659028541
"110","110","2",0.823398338938267
"111","111","1",0.803619079151083
"112","112","1",0.725368104647151
"113","113","1",0.805658846306705
"114","114","1",0.814469230581319
"115","115","1",0.808339932251334
"122","122","1",0.795094710331729
"123","123","1",0.735533706191352
"124","124","1",0.808616011825766
"125","125","2",0.753996446063752
"127","127","2",0.818518476355839
"128","128","2",0.818148006407049
"134","134","2",0.528604384768885
"135","135","1",0.793259408031605
"136","136","1",0.816486190455045
"137","137","1",0.722870426915267
"138","138","1",0.69893357047111
"139","139","1",0.738017689506711
"143","143","2",0.773348717846039
"147","147","1",0.761058817849275
"148","148","1",0.803989787797707
"149","149","1",0.742983405446839
"151","151","1",0.813733685946675
"152","152","1",0.817710476522166
"158","158","1",0.697662989397853
"159","159","1",0.663121124862027
"160","160","1",0.698901201566114
"161","161","2",0.795901531536033
"162","162","2",0.735660687894216
"163","163","1",0.704388546565497
"176","176","1",0.746392877698427
"177","177","1",0.755823253168398
"178","178","1",0.815207234928282
"179","179","1",0.74091189570273
"181","181","1",0.699437862604615
"182","182","1",0.704895068613096
"185","185","2",0.815070676754969
"189","189","1",0.809999041600647
"190","190","2",0.699874871372788
"191","191","1",0.811891628048331
"192","192","2",0.654307563716676
"193","193","1",0.562962354323747
"197","197","1",0.740494185367131
"198","198","1",0.778846739159727
"201","201","1",0.782414332253157
"202","202","1",0.636053547192747
"204","204","2",0.822713315019125
"205","205","1",0.818676004123004
"210","210","1",0.749854420569831
"211","211","2",0.605634374899324
"214","214","2",0.608455231880931
"215","215","1",0.794953720270751
"216","216","1",0.811204137168166
"217","217","2",0.657317729427538
"223","223","2",0.775976728559658
"225","225","1",0.808914829191508
"226","226","2",0.823644874832133
"227","227","2",0.817600950022677
"229","229","2",0.820640092494068
"234","234","2",0.750826804201907
"235","235","1",0.779251538333458
"238","238","1",0.531276632065396
"239","239","1",0.816168183286528
"240","240","1",0.74257368859555
"248","248","2",0.821197718152618
"249","249","1",0.734307365868041
"250","250","2",0.751533643105663
"251","251","1",0.727998185684773
"253","253","1",0.533623227831476
"255","255","1",0.570990705788284
"260","260","2",0.804179083395291
"261","261","1",0.585402500636384
"262","262","2",0.638022533235233
"263","263","2",0.736393964062653
"264","264","2",0.555327602292018
"272","272","1",0.813905366234699
"273","273","1",0.716888531137453
"274","274","1",0.815618725617053
"275","275","2",0.772903956691975
"276","276","2",0.819446888911115
"277","277","2",0.814088300894574
"278","278","1",0.635062002427968
"279","279","2",0.700541082107292
"280","280","2",0.6967964642167
"281","281","2",0.805904282364246
"282","282","1",0.741441158912942
"283","283","1",0.818614256599352
"284","284","1",0.77707098769598
"285","285","1",0.806247692183238
"286","286","1",0.803884048506646
"287","287","1",0.783286205519949
"288","288","2",0.761627605071683
"290","290","1",0.809591744700434
"295","295","1",0.613199768750703
"297","297","1",0.775018909542536
"298","298","1",0.813410442566377
"299","299","2",0.677445620846824
"300","300","1",0.686507253123966
"301","301","1",0.805126678553046
"320","320","1",0.796021583640575
"321","321","2",0.750899504541861
"322","322","2",0.813536474533732
"323","323","1",0.761086448987739
"324","324","1",0.784493497353639
"325","325","2",0.653170741308732
