"","id","cluster","ic_ratio"
"5","5","1",0.600609789652712
"9","9","2",0.981191466737324
"10","10","1",0.749432448710295
"11","11","1",0.737229603413279
"12","12","1",0.79661710506421
"13","13","2",0.980070775969015
"14","14","1",0.80807824829197
"15","15","2",0.980239278271898
"16","16","3",0.782043430122613
"17","17","3",0.858918127839881
"18","18","1",0.787628489538098
"19","19","3",0.764577388123012
"26","26","1",0.754347082912965
"27","27","3",0.843909257952421
"28","28","3",0.769485223017624
"29","29","3",0.784350134004017
"30","30","3",0.84492681588093
"32","32","1",0.775528532978785
"44","44","3",0.817190831856563
"45","45","1",0.731788837342639
"46","46","1",0.807388796226527
"47","47","3",0.845883922759141
"48","48","1",0.771981926503263
"49","49","1",0.765556145496223
"56","56","3",0.858369547099976
"57","57","1",0.746847212804725
"58","58","3",0.821428038564563
"59","59","1",0.789672669164432
"60","60","3",0.845328326797903
"62","62","3",0.812182872741132
"68","68","3",0.855488060638931
"69","69","2",0.978784497083606
"70","70","1",0.810718867980988
"71","71","1",0.670382215837949
"72","72","3",0.706232427496247
"73","73","1",0.69037412473708
"80","80","3",0.850418071056742
"81","81","3",0.806330576246704
"82","82","3",0.851362450759906
"83","83","1",0.736422374266764
"85","85","3",0.786463453946719
"87","87","3",0.853557986677479
"88","88","1",0.757188489211528
"92","92","1",0.774935637814981
"94","94","1",0.815651536915209
"95","95","3",0.859173047232568
"96","96","3",0.847524769263994
"97","97","3",0.846451226311675
"103","103","3",0.85310695496082
"105","105","1",0.787943450619832
"106","106","1",0.747325996973505
"107","107","2",0.979951150828128
"108","108","1",0.753800871419631
"109","109","3",0.846612872690779
"116","116","3",0.839782249894997
"117","117","3",0.807923085451425
"118","118","3",0.847219754087646
"119","119","1",0.700814410845936
"120","120","3",0.716120279258855
"121","121","2",0.967428550359924
"126","126","3",0.774716782896427
"129","129","3",0.825877902227233
"130","130","1",0.785768648380466
"131","131","3",0.844361715963074
"132","132","3",0.85475054492359
"133","133","3",0.750478260922163
"140","140","1",0.693385814866688
"141","141","3",0.843875683563314
"142","142","3",0.809542595660002
"144","144","2",0.859747040307385
"145","145","3",0.753244802439064
"146","146","1",0.752980213661762
"150","150","1",0.665523758203784
"153","153","3",0.845312848327113
"154","154","1",0.696908435077031
"155","155","3",0.812958767659593
"156","156","3",0.850326874282012
"157","157","1",0.742288515398178
"164","164","1",0.725785333879473
"165","165","3",0.845729655369594
"166","166","1",0.774748553749155
"167","167","3",0.786866751561975
"168","168","1",0.774375354059066
"169","169","2",0.980831101449671
"170","170","1",0.59208773019981
"171","171","3",0.85519658946987
"172","172","1",0.731525754695079
"173","173","3",0.79195167542555
"174","174","3",0.833877001288388
"175","175","3",0.723559427206197
"180","180","1",0.802785305362748
"183","183","1",0.706063933823791
"184","184","3",0.858783930087492
"186","186","1",0.730510817900538
"187","187","3",0.844988599917556
"188","188","1",0.770747193540746
"194","194","1",0.724027273461107
"195","195","3",0.698183707753749
"196","196","3",0.845217279223917
"199","199","3",0.847726927035195
"200","200","1",0.786746927587344
"203","203","1",0.762788259633475
"206","206","3",0.83349310549522
"207","207","3",0.84601451526892
"208","208","3",0.849605322758799
"209","209","1",0.814154287417796
"212","212","3",0.797848992951178
"213","213","1",0.766573069283776
"218","218","3",0.854257770259424
"219","219","1",0.759959212741079
"220","220","3",0.832815622878783
"221","221","1",0.710715664693213
"222","222","3",0.663738456355465
"224","224","1",0.772264864283909
"228","228","3",0.832238179084992
"230","230","3",0.839859396733143
"232","232","1",0.795994601272601
"233","233","1",0.759194441709052
"236","236","2",0.981112468602697
"237","237","3",0.763014326776036
"242","242","2",0.979758654887645
"243","243","1",0.772195935136158
"244","244","3",0.745256490673393
"245","245","1",0.625414450494974
"246","246","3",0.86912429355601
"247","247","3",0.850991168400921
"252","252","2",0.926988187397995
"254","254","3",0.658698268169238
"256","256","2",0.979263625100372
"257","257","3",0.759497032107258
"258","258","3",0.841155324603683
"259","259","1",0.735956275119808
"265","265","1",0.792983195137502
"267","267","3",0.856199464999373
"268","268","3",0.693770819828683
"269","269","1",0.734802013808206
"270","270","1",0.762008072747026
"271","271","1",0.749802778544231
"289","289","3",0.782527540693154
"291","291","1",0.745845941860518
"292","292","3",0.858447892515312
"293","293","1",0.746275590431708
"294","294","2",0.976701121488184
"296","296","3",0.626220895199169
"302","302","1",0.726701740179499
"303","303","1",0.770276675704043
"304","304","3",0.845292825988097
"305","305","3",0.787401482562224
"306","306","3",0.824768736872347
"307","307","1",0.794899169797939
"308","308","3",0.860959643360059
"309","309","3",0.793279300871384
"310","310","3",0.707792557864962
"311","311","1",0.651019767087135
"312","312","3",0.772074441613251
"313","313","3",0.849825091173379
"314","314","3",0.845705144617254
"315","315","3",0.840903818035443
"316","316","1",0.542373184332469
"317","317","3",0.858631975270699
"318","318","1",0.795718333022083
"319","319","1",0.744452224173121
