"id","unequal","0","24","48","72","96",">120"
"1","0","0.875","1.0","0.625","0.5","0.8333333333333334","0.0"
"2","0","0.875","1.0","0.875","1.0","0.0","1.0"
"3","0","1.0","1.0","0.0","0.0","0.0","0.0"
"5","1","1.1666666666666667","1.0","1.0","0.0","0.3333333333333333","0.5"
"6","0","0.375","1.0","0.625","1.0","0.5","0.5"
"7","0","0.75","0.5","0.25","0.5","0.16666666666666666","0.0"
"8","0","0.875","0.75","0.75","0.75","0.6666666666666666","0.0"
"9","1","1.25","1.5","2.0","1.5","0.5","0.5"
"10","1","0.875","0.75","1.0","0.75","1.0","0.5625"
"11","1","1.0","1.0","1.0","1.0","1.0","0.875"
"12","1","0.5833333333333334","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5","0.5416666666666666"
"13","1","1.3333333333333333","1.3333333333333333","1.3333333333333333","1.3333333333333333","1.3333333333333333","0.2222222222222222"
"14","1","0.8","0.8","0.8","0.8","0.6","0.35"
"15","1","0.75","1.5","1.75","1.5","0.5","0.3333333333333333"
"16","1","0.4166666666666667","0.5","0.5833333333333334","0.6666666666666666","0.6666666666666666","0.3333333333333333"
"17","1","0.5","0.5","0.5","0.5","0.5","0.08333333333333333"
"18","1","0.5","0.75","0.875","0.5","0.5","0.5833333333333334"
"19","1","0.8","0.6","0.6","0.6","0.2","0.26666666666666666"
"20","0","0.375","0.625","0.5","0.5","0.5","nan"
"21","0","0.5","0.5","0.75","0.875","0.25","nan"
"22","0","0.75","0.625","0.25","0.375","0.875","nan"
"23","0","0.625","0.5","0.5","0.0","0.125","nan"
"24","0","0.625","0.25","0.625","0.125","0.5","nan"
"25","0","0.75","0.75","0.5","0.625","0.75","nan"
"26","1","1.3333333333333333","1.0","0.8333333333333334","0.16666666666666666","1.3333333333333333","nan"
"27","1","0.5","0.25","0.5","0.0","0.5","nan"
"28","1","0.5","1.0","0.5","0.25","0.75","nan"
"29","1","0.625","0.625","0.375","0.125","0.75","nan"
"30","1","0.3333333333333333","0.4166666666666667","0.3333333333333333","0.25","0.3333333333333333","nan"
"31","0","0.625","0.625","0.75","0.16666666666666666","0.25","nan"
"32","1","0.7","0.6","0.6","0.8","0.7","nan"
"33","0","0.375","0.5","0.25","0.3333333333333333","0.875","nan"
"34","0","0.375","1.0","0.0","0.5","0.25","nan"
"35","0","0.75","0.5","0.75","0.75","0.125","nan"
"36","0","0.625","0.75","0.5","0.375","1.0","0.0"
"37","0","0.75","0.5","0.5","0.3333333333333333","0.375","nan"
"38","0","0.625","1.0","1.0","0.625","0.5","0.25"
"39","0","0.75","0.625","1.0","0.75","0.125","nan"
"40","0","0.125","0.125","0.0","0.625","0.0","0.0"
"41","0","0.625","0.625","0.625","0.625","0.5","0.25"
"42","0","1.0","0.625","0.625","0.375","0.5","0.0"
"43","0","0.625","0.5","0.125","0.75","0.5","0.0"
"44","1","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.3333333333333333","0.3333333333333333","0.0"
"45","1","0.25","1.25","2.0","0.25","1.25","2.0"
"46","1","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"47","1","0.25","0.375","0.25","0.125","0.25","0.0"
"48","1","0.6","0.5","0.8","0.6","0.4","0.6"
"49","1","0.875","0.875","1.0","0.75","0.75","1.0"
"50","0","0.5","0.25","0.125","0.25","0.5","0.0"
"51","0","1.0","1.0","1.0","1.0","0.0","1.0"
"52","0","0.625","0.25","0.375","0.5","0.25","0.75"
"53","0","0.5","0.75","0.875","0.5","0.75","0.0"
"54","0","0.875","0.5","0.5","1.0","0.0","0.0"
"55","0","0.875","0.75","0.875","1.0","0.6666666666666666","0.0"
"56","1","0.4166666666666667","0.5833333333333334","0.4166666666666667","0.4166666666666667","0.5","nan"
"57","1","1.5","0.75","0.75","0.75","0.25","nan"
"58","1","0.625","0.375","0.625","0.75","0.125","nan"
"59","1","0.8","0.8","0.4","0.8","0.8","nan"
"60","1","0.125","0.125","0.125","0.375","0.5","nan"
"61","0","0.625","0.375","0.5","0.375","0.5","0.0"
"62","1","1.0","0.6666666666666666","0.3333333333333333","0.16666666666666666","0.16666666666666666","nan"
"63","0","0.5","0.5","0.5","0.5","0.125","0.0"
"64","0","0.75","0.625","0.25","0.375","0.5","0.0"
"65","0","0.625","0.75","0.5","0.625","0.375","0.0"
"66","0","0.625","0.875","0.75","0.5","0.125","0.0"
"67","0","0.625","0.875","1.0","0.875","0.875","0.25"
"68","1","0.5","0.5","0.25","0.625","0.5","0.08333333333333333"
"69","1","1.25","2.0","1.0","0.75","1.0","0.0"
"70","1","0.8","0.8","0.8","0.7","0.8","0.5333333333333333"
"71","1","1.0","1.0","1.0","1.0","0.0","0.0"
"72","1","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.0"
"73","1","1.0","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.3333333333333333","0.0"
"74","0","0.625","1.0","1.0","0.5","0.3333333333333333","0.125"
"75","0","1.0","1.0","1.0","1.0","0.0","0.0"
"76","0","0.875","0.5","0.75","0.75","0.0","0.0"
"77","0","0.5","1.0","1.0","0.75","0.8333333333333334","1.0"
"78","0","1.0","0.5","0.75","1.0","0.4166666666666667","0.0"
"79","0","0.75","0.75","1.0","0.5","0.3333333333333333","0.0"
"80","1","0.5","0.5833333333333334","0.5","0.5","0.08333333333333333","nan"
"81","1","1.0","0.5","0.5","0.0","0.25","nan"
"82","1","0.625","0.625","0.5","0.375","0.125","nan"
"83","1","0.5","0.8333333333333334","0.8333333333333334","1.3333333333333333","1.3333333333333333","nan"
"84","0","1.0","0.5","0.875","0.4166666666666667","0.25","nan"
"85","1","0.3","0.3","0.8","0.8","0.4","nan"
"86","0","0.625","0.75","0.5","0.75","1.0","nan"
"87","1","0.625","0.625","0.25","0.625","0.125","nan"
"88","1","0.75","0.625","0.875","1.0","0.875","nan"
"89","0","1.0","1.0","0.0","0.16666666666666666","0.25","nan"
"90","0","0.625","0.75","0.625","0.8333333333333334","0.0","nan"
"91","0","0.25","0.75","0.25","0.08333333333333333","0.375","nan"
"92","1","1.25","0.25","0.25","1.0","1.0","nan"
"93","0","0.625","0.75","0.5","0.5","0.125","nan"
"94","1","0.75","0.75","0.75","0.75","0.625","nan"
"95","1","0.5","0.5","0.5","0.5","0.5","nan"
"96","1","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","nan"
"97","1","0.1","0.4","0.5","0.2","0.2","nan"
"98","0","0.75","0.0","0.0","0.0","0.0","0.0"
"99","0","1.0","0.5","0.625","1.0","0.75","0.5"
"100","0","0.75","1.0","0.625","0.5","0.75","0.0"
"101","0","0.5","0.75","0.375","0.75","0.5","0.0"
"102","0","0.625","0.5","0.625","0.75","0.625","0.5"
"103","1","0.5833333333333334","0.6666666666666666","0.5","0.3333333333333333","0.25","0.3333333333333333"
"104","0","0.625","1.0","0.625","0.5","0.25","0.0"
"105","1","0.7","0.6","0.6","0.8","0.4","0.5"
"106","1","0.8333333333333334","1.0","1.0","1.0","1.0","1.1666666666666667"
"107","1","1.0","2.0","1.25","1.0","0.75","0.5"
"108","1","0.875","0.75","0.75","1.0","1.0","1.0"
"109","1","0.5","0.5","0.375","0.25","0.0","0.0"
"110","0","0.5","0.5","0.5","0.25","0.0","0.0"
"111","0","0.75","1.0","1.0","0.75","0.0","0.0"
"112","0","0.875","0.75","0.5","0.75","0.16666666666666666","0.0"
"113","0","0.75","0.75","1.0","0.375","0.16666666666666666","0.0"
"114","0","0.875","0.75","1.0","0.875","0.6666666666666666","0.0"
"115","0","1.0","0.5","1.0","0.875","0.5","0.0"
"116","1","0.6666666666666666","0.5","0.5","0.5833333333333334","0.3333333333333333","nan"
"117","1","1.25","0.5","0.25","0.0","0.0","nan"
"118","1","0.3","0.2","0.2","0.2","0.2","nan"
"119","1","0.875","1.0","0.875","0.5","0.08333333333333333","nan"
"120","1","0.875","0.5","0.5","0.625","0.4166666666666667","nan"
"121","1","0.8333333333333334","1.3333333333333333","1.3333333333333333","1.1666666666666667","0.6666666666666666","nan"
"122","0","0.875","0.75","0.625","0.625","0.625","0.0"
"123","0","0.875","0.75","0.625","0.75","0.0","0.0"
"124","0","0.75","1.0","0.75","0.375","0.875","0.5"
"125","0","0.75","0.75","0.5","0.5","0.375","0.25"
"126","1","0.75","0.75","0.5","0.5","0.5","nan"
"127","0","0.375","0.75","0.5","0.125","0.375","0.0"
"128","0","0.625","0.5","0.625","0.375","0.25","0.0"
"129","1","0.7","0.4","0.6","0.5","0.3","nan"
"130","1","0.625","0.625","0.875","0.625","0.5","nan"
"131","1","0.5","0.625","0.5","0.625","0.25","nan"
"132","1","0.4166666666666667","0.3333333333333333","0.5","0.4166666666666667","0.5833333333333334","nan"
"133","1","1.0","0.5","0.6666666666666666","0.3333333333333333","0.5","nan"
"134","0","0.375","0.5","0.75","0.875","0.5","0.75"
"135","0","1.0","1.0","1.0","1.0","1.0","0.3333333333333333"
"136","0","0.75","1.0","0.75","0.625","0.75","0.3333333333333333"
"137","0","1.0","0.75","0.5","0.75","0.75","1.0"
"138","0","0.5","0.75","0.5","0.625","1.0","1.0"
"139","0","0.625","1.0","1.0","1.0","1.0","0.75"
"140","1","0.75","0.75","0.5","0.875","0.25","0.0"
"141","1","0.625","1.0","0.0","0.375","0.0","0.0"
"142","1","0.5","1.0","0.5","0.5","0.25","0.5"
"143","0","0.5","0.5","0.5","0.5","0.5","0.5"
"144","1","1.3333333333333333","1.3333333333333333","1.3333333333333333","1.3333333333333333","0.0","0.0"
"145","1","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.4166666666666667","0.0"
"146","1","0.8","0.8","0.8","0.8","0.4","0.0"
"147","0","0.625","1.0","0.625","1.0","0.5","0.08333333333333333"
"148","0","0.75","0.75","0.75","0.75","0.75","0.0"
"149","0","0.5","1.0","1.0","1.0","1.0","0.6666666666666666"
"150","1","1.0","0.625","0.5","0.75","0.3333333333333333","nan"
"151","0","0.625","0.75","0.875","0.75","0.5","0.08333333333333333"
"152","0","1.0","1.0","0.625","0.5","0.75","0.0"
"153","1","0.16666666666666666","0.4166666666666667","0.5","0.4166666666666667","0.2777777777777778","nan"
"154","1","0.8333333333333334","0.6666666666666666","0.3333333333333333","1.0","0.4444444444444444","nan"
"155","1","0.25","0.5","0.5","0.75","0.5","nan"
"156","1","0.5","0.7","0.4","0.3","0.2","nan"
"157","1","2.0","1.5","0.5","0.25","0.6666666666666666","nan"
"158","0","0.625","0.75","0.5","0.5","1.0","1.0"
