"id","unequal","endowment","payoff","payoff_norm_half_endowment","payoff_norm_equal_payoff","payoff_norm_equal_contribution","contribution","contribution_norm_half_endowment","contribution_norm_equal_payoff","contribution_norm_equal_contribution"
"1","0","40","12","0.6","0.6","0.6","28","1.4","1.4","1.4"
"2","0","40","14","0.7","0.7","0.7","26","1.3","1.3","1.3"
"3","0","40","28","1.4","1.4","1.4","12","0.6","0.6","0.6"
"5","1","30","10","0.6666666666666666","0.5","1.0","20","1.3333333333333333","2.0","1.0"
"6","0","40","16","0.8","0.8","0.8","24","1.2","1.2","1.2"
"7","0","40","26","1.3","1.3","1.3","14","0.7","0.7","0.7"
"8","0","40","13","0.65","0.65","0.65","27","1.35","1.35","1.35"
"9","1","20","0","0.0","0.0","1.0","20","2.0","4.0","1.0"
"10","1","40","10","0.5","0.5","0.5","30","1.5","1.5","1.5"
"11","1","40","2","0.1","0.1","0.1","38","1.9","1.9","1.9"
"12","1","60","25","0.8333333333333334","1.25","0.625","35","1.1666666666666667","0.875","1.75"
"13","1","30","0","0.0","0.0","0.0","30","2.0","3.0","1.5"
"14","1","50","20","0.8","1.0","0.6666666666666666","30","1.2","1.0","1.5"
"15","1","20","1","0.1","0.05","1.15","19","1.9","3.85","0.95"
"16","1","60","31","1.0333333333333334","1.55","0.775","29","0.9666666666666667","0.725","1.45"
"17","1","40","25","1.25","1.25","1.25","15","0.75","0.75","0.75"
"18","1","40","15","0.75","0.75","0.75","25","1.25","1.25","1.25"
"19","1","50","25","1.0","1.25","0.8333333333333334","25","1.0","0.8333333333333334","1.25"
"20","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"21","0","40","17","0.85","0.85","0.85","23","1.15","1.15","1.15"
"22","0","40","17","0.85","0.85","0.85","23","1.15","1.15","1.15"
"23","0","40","26","1.3","1.3","1.3","14","0.7","0.7","0.7"
"24","0","40","23","1.15","1.15","1.15","17","0.85","0.85","0.85"
"25","0","40","13","0.65","0.65","0.65","27","1.35","1.35","1.35"
"26","1","30","2","0.13333333333333333","0.1","0.2","28","1.8666666666666667","2.8","1.4"
"27","1","40","26","1.3","1.3","1.3","14","0.7","0.7","0.7"
"28","1","20","8","0.8","0.4","2.2","12","1.2","2.8","0.6"
"29","1","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"30","1","60","40","1.3333333333333333","2.0","1.0","20","0.6666666666666666","0.5","1.0"
"31","0","40","23","1.15","1.15","1.15","17","0.85","0.85","0.85"
"32","1","50","16","0.64","0.8","0.5333333333333333","34","1.36","1.1333333333333333","1.7"
"33","0","40","21","1.05","1.05","1.05","19","0.95","0.95","0.95"
"34","0","40","21","1.05","1.05","1.05","19","0.95","0.95","0.95"
"35","0","40","17","0.85","0.85","0.85","23","1.15","1.15","1.15"
"36","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"37","0","40","21","1.05","1.05","1.05","19","0.95","0.95","0.95"
"38","0","40","11","0.55","0.55","0.55","29","1.45","1.45","1.45"
"39","0","40","15","0.75","0.75","0.75","25","1.25","1.25","1.25"
"40","0","40","33","1.65","1.65","1.65","7","0.35","0.35","0.35"
"41","0","40","17","0.85","0.85","0.85","23","1.15","1.15","1.15"
"42","0","40","17","0.85","0.85","0.85","23","1.15","1.15","1.15"
"43","0","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"44","1","30","16","1.0666666666666667","0.8","1.6","14","0.9333333333333333","1.4","0.7"
"45","1","20","0","0.0","0.0","1.0","20","2.0","4.0","1.0"
"46","1","60","20","0.6666666666666666","1.0","0.5","40","1.3333333333333333","1.0","2.0"
"47","1","40","31","1.55","1.55","1.55","9","0.45","0.45","0.45"
"48","1","50","22","0.88","1.1","0.7333333333333333","28","1.12","0.9333333333333333","1.4"
"49","1","40","6","0.3","0.3","0.3","34","1.7","1.7","1.7"
"50","0","40","27","1.35","1.35","1.35","13","0.65","0.65","0.65"
"51","0","40","12","0.6","0.6","0.6","28","1.4","1.4","1.4"
"52","0","40","23","1.15","1.15","1.15","17","0.85","0.85","0.85"
"53","0","40","15","0.75","0.75","0.75","25","1.25","1.25","1.25"
"54","0","40","23","1.15","1.15","1.15","17","0.85","0.85","0.85"
"55","0","40","11","0.55","0.55","0.55","29","1.45","1.45","1.45"
"56","1","60","32","1.0666666666666667","1.6","0.8","28","0.9333333333333333","0.7","1.4"
"57","1","20","4","0.4","0.2","1.6","16","1.6","3.4","0.8"
"58","1","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"59","1","50","14","0.56","0.7","0.4666666666666667","36","1.44","1.2","1.8"
"60","1","40","30","1.5","1.5","1.5","10","0.5","0.5","0.5"
"61","0","40","23","1.15","1.15","1.15","17","0.85","0.85","0.85"
"62","1","30","16","1.0666666666666667","0.8","1.6","14","0.9333333333333333","1.4","0.7"
"63","0","40","25","1.25","1.25","1.25","15","0.75","0.75","0.75"
"64","0","40","21","1.05","1.05","1.05","19","0.95","0.95","0.95"
"65","0","40","19","0.95","0.95","0.95","21","1.05","1.05","1.05"
"66","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"67","0","40","9","0.45","0.45","0.45","31","1.55","1.55","1.55"
"68","1","40","25","1.25","1.25","1.25","15","0.75","0.75","0.75"
"69","1","20","4","0.4","0.2","1.6","16","1.6","3.4","0.8"
"70","1","50","15","0.6","0.75","0.5","35","1.4","1.1666666666666667","1.75"
"71","1","40","16","0.8","0.8","0.8","24","1.2","1.2","1.2"
"72","1","60","32","1.0666666666666667","1.6","0.8","28","0.9333333333333333","0.7","1.4"
"73","1","30","15","1.0","0.75","1.5","15","1.0","1.5","0.75"
"74","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"75","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"76","0","40","25","1.25","1.25","1.25","15","0.75","0.75","0.75"
"77","0","40","7","0.35","0.35","0.35","33","1.65","1.65","1.65"
"78","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"79","0","40","21","1.05","1.05","1.05","19","0.95","0.95","0.95"
"80","1","60","34","1.1333333333333333","1.7","0.85","26","0.8666666666666667","0.65","1.3"
"81","1","20","11","1.1","0.55","2.65","9","0.9","2.35","0.45"
"82","1","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"83","1","30","1","0.06666666666666667","0.05","0.1","29","1.9333333333333333","2.9","1.45"
"84","0","40","16","0.8","0.8","0.8","24","1.2","1.2","1.2"
"85","1","50","24","0.96","1.2","0.8","26","1.04","0.8666666666666667","1.3"
"86","0","40","11","0.55","0.55","0.55","29","1.45","1.45","1.45"
"87","1","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"88","1","40","7","0.35","0.35","0.35","33","1.65","1.65","1.65"
"89","0","40","24","1.2","1.2","1.2","16","0.8","0.8","0.8"
"90","0","40","17","0.85","0.85","0.85","23","1.15","1.15","1.15"
"91","0","40","29","1.45","1.45","1.45","11","0.55","0.55","0.55"
"92","1","20","5","0.5","0.25","1.75","15","1.5","3.25","0.75"
"93","0","40","21","1.05","1.05","1.05","19","0.95","0.95","0.95"
"94","1","40","11","0.55","0.55","0.55","29","1.45","1.45","1.45"
"95","1","30","15","1.0","0.75","1.5","15","1.0","1.5","0.75"
"96","1","60","40","1.3333333333333333","2.0","1.0","20","0.6666666666666666","0.5","1.0"
"97","1","50","36","1.44","1.8","1.2","14","0.56","0.4666666666666667","0.7"
"98","0","40","34","1.7","1.7","1.7","6","0.3","0.3","0.3"
"99","0","40","9","0.45","0.45","0.45","31","1.55","1.55","1.55"
"100","0","40","15","0.75","0.75","0.75","25","1.25","1.25","1.25"
"101","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"102","0","40","15","0.75","0.75","0.75","25","1.25","1.25","1.25"
"103","1","60","34","1.1333333333333333","1.7","0.85","26","0.8666666666666667","0.65","1.3"
"104","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"105","1","50","21","0.84","1.05","0.7","29","1.16","0.9666666666666667","1.45"
"106","1","30","0","0.0","0.0","0.0","30","2.0","3.0","1.5"
"108","1","40","4","0.2","0.2","0.2","36","1.8","1.8","1.8"
"109","1","40","30","1.5","1.5","1.5","10","0.5","0.5","0.5"
"110","0","40","30","1.5","1.5","1.5","10","0.5","0.5","0.5"
"111","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"112","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"113","0","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"114","0","40","11","0.55","0.55","0.55","29","1.45","1.45","1.45"
"115","0","40","13","0.65","0.65","0.65","27","1.35","1.35","1.35"
"116","1","60","30","1.0","1.5","0.75","30","1.0","0.75","1.5"
"117","1","20","13","1.3","0.65","2.95","7","0.7","2.05","0.35"
"118","1","50","39","1.56","1.95","1.3","11","0.44","0.36666666666666664","0.55"
"119","1","40","17","0.85","0.85","0.85","23","1.15","1.15","1.15"
"120","1","40","17","0.85","0.85","0.85","23","1.15","1.15","1.15"
"121","1","30","0","0.0","0.0","0.0","30","2.0","3.0","1.5"
"122","0","40","15","0.75","0.75","0.75","25","1.25","1.25","1.25"
"123","0","40","19","0.95","0.95","0.95","21","1.05","1.05","1.05"
"124","0","40","12","0.6","0.6","0.6","28","1.4","1.4","1.4"
"125","0","40","19","0.95","0.95","0.95","21","1.05","1.05","1.05"
"126","1","20","8","0.8","0.4","2.2","12","1.2","2.8","0.6"
"127","0","40","26","1.3","1.3","1.3","14","0.7","0.7","0.7"
"128","0","40","23","1.15","1.15","1.15","17","0.85","0.85","0.85"
"129","1","50","25","1.0","1.25","0.8333333333333334","25","1.0","0.8333333333333334","1.25"
"130","1","40","14","0.7","0.7","0.7","26","1.3","1.3","1.3"
"131","1","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"132","1","60","33","1.1","1.65","0.825","27","0.9","0.675","1.35"
"133","1","30","12","0.8","0.6","1.2","18","1.2","1.8","0.9"
"134","0","40","14","0.7","0.7","0.7","26","1.3","1.3","1.3"
"135","0","40","8","0.4","0.4","0.4","32","1.6","1.6","1.6"
"136","0","40","15","0.75","0.75","0.75","25","1.25","1.25","1.25"
"137","0","40","6","0.3","0.3","0.3","34","1.7","1.7","1.7"
"138","0","40","10","0.5","0.5","0.5","30","1.5","1.5","1.5"
"139","0","40","6","0.3","0.3","0.3","34","1.7","1.7","1.7"
"140","1","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"141","1","40","28","1.4","1.4","1.4","12","0.6","0.6","0.6"
"142","1","20","10","1.0","0.5","2.5","10","1.0","2.5","0.5"
"143","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"144","1","30","6","0.4","0.3","0.6","24","1.6","2.4","1.2"
"145","1","60","31","1.0333333333333334","1.55","0.775","29","0.9666666666666667","0.725","1.45"
"146","1","50","22","0.88","1.1","0.7333333333333333","28","1.12","0.9333333333333333","1.4"
"147","0","40","19","0.95","0.95","0.95","21","1.05","1.05","1.05"
"148","0","40","19","0.95","0.95","0.95","21","1.05","1.05","1.05"
"149","0","40","8","0.4","0.4","0.4","32","1.6","1.6","1.6"
"150","1","40","15","0.75","0.75","0.75","25","1.25","1.25","1.25"
"151","0","40","19","0.95","0.95","0.95","21","1.05","1.05","1.05"
"152","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"153","1","60","40","1.3333333333333333","2.0","1.0","20","0.6666666666666666","0.5","1.0"
"154","1","30","10","0.6666666666666666","0.5","1.0","20","1.3333333333333333","2.0","1.0"
"155","1","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"156","1","50","30","1.2","1.5","1.0","20","0.8","0.6666666666666666","1.0"
"157","1","20","0","0.0","0.0","1.0","20","2.0","4.0","1.0"
"158","0","40","11","0.55","0.55","0.55","29","1.45","1.45","1.45"
"159","0","40","13","0.65","0.65","0.65","27","1.35","1.35","1.35"
"160","0","40","11","0.55","0.55","0.55","29","1.45","1.45","1.45"
"161","0","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"162","0","40","21","1.05","1.05","1.05","19","0.95","0.95","0.95"
"163","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"164","1","40","4","0.2","0.2","0.2","36","1.8","1.8","1.8"
"165","1","50","37","1.48","1.85","1.2333333333333334","13","0.52","0.43333333333333335","0.65"
"166","1","30","10","0.6666666666666666","0.5","1.0","20","1.3333333333333333","2.0","1.0"
"167","1","60","34","1.1333333333333333","1.7","0.85","26","0.8666666666666667","0.65","1.3"
"168","1","20","6","0.6","0.3","1.9","14","1.4","3.1","0.7"
"169","1","20","0","0.0","0.0","1.0","20","2.0","4.0","1.0"
"170","1","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"171","1","40","26","1.3","1.3","1.3","14","0.7","0.7","0.7"
"172","1","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"173","1","50","25","1.0","1.25","0.8333333333333334","25","1.0","0.8333333333333334","1.25"
"174","1","30","17","1.1333333333333333","0.85","1.7","13","0.8666666666666667","1.3","0.65"
"175","1","60","30","1.0","1.5","0.75","30","1.0","0.75","1.5"
"176","0","40","10","0.5","0.5","0.5","30","1.5","1.5","1.5"
"177","0","40","26","1.3","1.3","1.3","14","0.7","0.7","0.7"
"178","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"179","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"180","1","50","12","0.48","0.6","0.4","38","1.52","1.2666666666666666","1.9"
"181","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"182","0","40","16","0.8","0.8","0.8","24","1.2","1.2","1.2"
"183","1","20","8","0.8","0.4","2.2","12","1.2","2.8","0.6"
"184","1","40","24","1.2","1.2","1.2","16","0.8","0.8","0.8"
"185","0","40","28","1.4","1.4","1.4","12","0.6","0.6","0.6"
"186","1","40","14","0.7","0.7","0.7","26","1.3","1.3","1.3"
"187","1","60","34","1.1333333333333333","1.7","0.85","26","0.8666666666666667","0.65","1.3"
"188","1","30","14","0.9333333333333333","0.7","1.4","16","1.0666666666666667","1.6","0.8"
"189","0","40","8","0.4","0.4","0.4","32","1.6","1.6","1.6"
"190","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"191","0","40","16","0.8","0.8","0.8","24","1.2","1.2","1.2"
"192","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"193","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"194","1","30","10","0.6666666666666666","0.5","1.0","20","1.3333333333333333","2.0","1.0"
"195","1","50","24","0.96","1.2","0.8","26","1.04","0.8666666666666667","1.3"
"196","1","40","30","1.5","1.5","1.5","10","0.5","0.5","0.5"
"197","0","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"198","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"199","1","40","30","1.5","1.5","1.5","10","0.5","0.5","0.5"
"200","1","60","20","0.6666666666666666","1.0","0.5","40","1.3333333333333333","1.0","2.0"
"201","0","40","12","0.6","0.6","0.6","28","1.4","1.4","1.4"
"202","0","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"203","1","20","2","0.2","0.1","1.3","18","1.8","3.7","0.9"
"204","0","40","24","1.2","1.2","1.2","16","0.8","0.8","0.8"
"205","0","40","12","0.6","0.6","0.6","28","1.4","1.4","1.4"
"206","1","60","26","0.8666666666666667","1.3","0.65","34","1.1333333333333333","0.85","1.7"
"207","1","30","24","1.6","1.2","2.4","6","0.4","0.6","0.3"
"208","1","40","26","1.3","1.3","1.3","14","0.7","0.7","0.7"
"209","1","50","12","0.48","0.6","0.4","38","1.52","1.2666666666666666","1.9"
"210","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"211","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"212","1","40","24","1.2","1.2","1.2","16","0.8","0.8","0.8"
"213","1","20","2","0.2","0.1","1.3","18","1.8","3.7","0.9"
"214","0","40","24","1.2","1.2","1.2","16","0.8","0.8","0.8"
"215","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"216","0","40","12","0.6","0.6","0.6","28","1.4","1.4","1.4"
"217","0","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"218","1","60","36","1.2","1.8","0.9","24","0.8","0.6","1.2"
"219","1","20","6","0.6","0.3","1.9","14","1.4","3.1","0.7"
"220","1","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"221","1","40","16","0.8","0.8","0.8","24","1.2","1.2","1.2"
"222","1","30","16","1.0666666666666667","0.8","1.6","14","0.9333333333333333","1.4","0.7"
"223","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"224","1","50","20","0.8","1.0","0.6666666666666666","30","1.2","1.0","1.5"
"225","0","40","6","0.3","0.3","0.3","34","1.7","1.7","1.7"
"226","0","40","30","1.5","1.5","1.5","10","0.5","0.5","0.5"
"227","0","40","24","1.2","1.2","1.2","16","0.8","0.8","0.8"
"228","1","50","30","1.2","1.5","1.0","20","0.8","0.6666666666666666","1.0"
"229","0","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"230","1","20","16","1.6","0.8","3.4","4","0.4","1.6","0.2"
"232","1","60","22","0.7333333333333333","1.1","0.55","38","1.2666666666666666","0.95","1.9"
"233","1","40","8","0.4","0.4","0.4","32","1.6","1.6","1.6"
"234","0","40","24","1.2","1.2","1.2","16","0.8","0.8","0.8"
"235","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"236","1","30","0","0.0","0.0","0.0","30","2.0","3.0","1.5"
"237","1","40","24","1.2","1.2","1.2","16","0.8","0.8","0.8"
"238","0","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"239","0","40","12","0.6","0.6","0.6","28","1.4","1.4","1.4"
"240","0","40","8","0.4","0.4","0.4","32","1.6","1.6","1.6"
"242","1","30","0","0.0","0.0","0.0","30","2.0","3.0","1.5"
"243","1","40","14","0.7","0.7","0.7","26","1.3","1.3","1.3"
"244","1","60","30","1.0","1.5","0.75","30","1.0","0.75","1.5"
"245","1","20","8","0.8","0.4","2.2","12","1.2","2.8","0.6"
"246","1","50","24","0.96","1.2","0.8","26","1.04","0.8666666666666667","1.3"
"247","1","40","28","1.4","1.4","1.4","12","0.6","0.6","0.6"
"248","0","40","28","1.4","1.4","1.4","12","0.6","0.6","0.6"
"249","0","40","8","0.4","0.4","0.4","32","1.6","1.6","1.6"
"250","0","40","24","1.2","1.2","1.2","16","0.8","0.8","0.8"
"251","0","40","10","0.5","0.5","0.5","30","1.5","1.5","1.5"
"252","1","20","10","1.0","0.5","2.5","10","1.0","2.5","0.5"
"253","0","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"254","1","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"255","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"256","1","30","0","0.0","0.0","0.0","30","2.0","3.0","1.5"
"257","1","50","28","1.12","1.4","0.9333333333333333","22","0.88","0.7333333333333333","1.1"
"258","1","60","44","1.4666666666666666","2.2","1.1","16","0.5333333333333333","0.4","0.8"
"259","1","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"260","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"261","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"262","0","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"263","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"264","0","40","16","0.8","0.8","0.8","24","1.2","1.2","1.2"
"265","1","40","10","0.5","0.5","0.5","30","1.5","1.5","1.5"
"267","1","60","36","1.2","1.8","0.9","24","0.8","0.6","1.2"
"268","1","50","26","1.04","1.3","0.8666666666666667","24","0.96","0.8","1.2"
"269","1","40","16","0.8","0.8","0.8","24","1.2","1.2","1.2"
"270","1","30","10","0.6666666666666666","0.5","1.0","20","1.3333333333333333","2.0","1.0"
"271","1","20","12","1.2","0.6","2.8","8","0.8","2.2","0.4"
"272","0","40","10","0.5","0.5","0.5","30","1.5","1.5","1.5"
"273","0","40","14","0.7","0.7","0.7","26","1.3","1.3","1.3"
"274","0","40","8","0.4","0.4","0.4","32","1.6","1.6","1.6"
"275","0","40","26","1.3","1.3","1.3","14","0.7","0.7","0.7"
"276","0","40","26","1.3","1.3","1.3","14","0.7","0.7","0.7"
"277","0","40","30","1.5","1.5","1.5","10","0.5","0.5","0.5"
"278","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
