"id","unequal","endowment","payoff","payoff_norm","contribution","contribution_norm"
"1","0","40","12","0.3","28","0.7"
"2","0","40","14","0.35","26","0.65"
"3","0","40","28","0.7","12","0.3"
"5","1","30","10","0.3333333333333333","20","0.6666666666666666"
"6","0","40","16","0.4","24","0.6"
"7","0","40","26","0.65","14","0.35"
"8","0","40","13","0.325","27","0.675"
"9","1","20","0","0.0","20","1.0"
"10","1","40","10","0.25","30","0.75"
"11","1","40","2","0.05","38","0.95"
"12","1","60","25","0.4166666666666667","35","0.5833333333333334"
"13","1","30","0","0.0","30","1.0"
"14","1","50","20","0.4","30","0.6"
"15","1","20","1","0.05","19","0.95"
"16","1","60","31","0.5166666666666667","29","0.48333333333333334"
"17","1","40","25","0.625","15","0.375"
"18","1","40","15","0.375","25","0.625"
"19","1","50","25","0.5","25","0.5"
"20","0","40","20","0.5","20","0.5"
"21","0","40","17","0.425","23","0.575"
"22","0","40","17","0.425","23","0.575"
"23","0","40","26","0.65","14","0.35"
"24","0","40","23","0.575","17","0.425"
"25","0","40","13","0.325","27","0.675"
"26","1","30","2","0.06666666666666667","28","0.9333333333333333"
"27","1","40","26","0.65","14","0.35"
"28","1","20","8","0.4","12","0.6"
"29","1","40","20","0.5","20","0.5"
"30","1","60","40","0.6666666666666666","20","0.3333333333333333"
"31","0","40","23","0.575","17","0.425"
"32","1","50","16","0.32","34","0.68"
"33","0","40","21","0.525","19","0.475"
"34","0","40","21","0.525","19","0.475"
"35","0","40","17","0.425","23","0.575"
"36","0","40","18","0.45","22","0.55"
"37","0","40","21","0.525","19","0.475"
"38","0","40","11","0.275","29","0.725"
"39","0","40","15","0.375","25","0.625"
"40","0","40","33","0.825","7","0.175"
"41","0","40","17","0.425","23","0.575"
"42","0","40","17","0.425","23","0.575"
"43","0","40","22","0.55","18","0.45"
"44","1","30","16","0.5333333333333333","14","0.4666666666666667"
"45","1","20","0","0.0","20","1.0"
"46","1","60","20","0.3333333333333333","40","0.6666666666666666"
"47","1","40","31","0.775","9","0.225"
"48","1","50","22","0.44","28","0.56"
"49","1","40","6","0.15","34","0.85"
"50","0","40","27","0.675","13","0.325"
"51","0","40","12","0.3","28","0.7"
"52","0","40","23","0.575","17","0.425"
"53","0","40","15","0.375","25","0.625"
"54","0","40","23","0.575","17","0.425"
"55","0","40","11","0.275","29","0.725"
"56","1","60","32","0.5333333333333333","28","0.4666666666666667"
"57","1","20","4","0.2","16","0.8"
"58","1","40","20","0.5","20","0.5"
"59","1","50","14","0.28","36","0.72"
"60","1","40","30","0.75","10","0.25"
"61","0","40","23","0.575","17","0.425"
"62","1","30","16","0.5333333333333333","14","0.4666666666666667"
"63","0","40","25","0.625","15","0.375"
"64","0","40","21","0.525","19","0.475"
"65","0","40","19","0.475","21","0.525"
"66","0","40","20","0.5","20","0.5"
"67","0","40","9","0.225","31","0.775"
"68","1","40","25","0.625","15","0.375"
"69","1","20","4","0.2","16","0.8"
"70","1","50","15","0.3","35","0.7"
"71","1","40","16","0.4","24","0.6"
"72","1","60","32","0.5333333333333333","28","0.4666666666666667"
"73","1","30","15","0.5","15","0.5"
"74","0","40","20","0.5","20","0.5"
"75","0","40","20","0.5","20","0.5"
"76","0","40","25","0.625","15","0.375"
"77","0","40","7","0.175","33","0.825"
"78","0","40","18","0.45","22","0.55"
"79","0","40","21","0.525","19","0.475"
"80","1","60","34","0.5666666666666667","26","0.43333333333333335"
"81","1","20","11","0.55","9","0.45"
"82","1","40","22","0.55","18","0.45"
"83","1","30","1","0.03333333333333333","29","0.9666666666666667"
"84","0","40","16","0.4","24","0.6"
"85","1","50","24","0.48","26","0.52"
"86","0","40","11","0.275","29","0.725"
"87","1","40","22","0.55","18","0.45"
"88","1","40","7","0.175","33","0.825"
"89","0","40","24","0.6","16","0.4"
"90","0","40","17","0.425","23","0.575"
"91","0","40","29","0.725","11","0.275"
"92","1","20","5","0.25","15","0.75"
"93","0","40","21","0.525","19","0.475"
"94","1","40","11","0.275","29","0.725"
"95","1","30","15","0.5","15","0.5"
"96","1","60","40","0.6666666666666666","20","0.3333333333333333"
"97","1","50","36","0.72","14","0.28"
"98","0","40","34","0.85","6","0.15"
"99","0","40","9","0.225","31","0.775"
"100","0","40","15","0.375","25","0.625"
"101","0","40","20","0.5","20","0.5"
"102","0","40","15","0.375","25","0.625"
"103","1","60","34","0.5666666666666667","26","0.43333333333333335"
"104","0","40","20","0.5","20","0.5"
"105","1","50","21","0.42","29","0.58"
"106","1","30","0","0.0","30","1.0"
"108","1","40","4","0.1","36","0.9"
"109","1","40","30","0.75","10","0.25"
"110","0","40","30","0.75","10","0.25"
"111","0","40","20","0.5","20","0.5"
"112","0","40","20","0.5","20","0.5"
"113","0","40","22","0.55","18","0.45"
"114","0","40","11","0.275","29","0.725"
"115","0","40","13","0.325","27","0.675"
"116","1","60","30","0.5","30","0.5"
"117","1","20","13","0.65","7","0.35"
"118","1","50","39","0.78","11","0.22"
"119","1","40","17","0.425","23","0.575"
"120","1","40","17","0.425","23","0.575"
"121","1","30","0","0.0","30","1.0"
"122","0","40","15","0.375","25","0.625"
"123","0","40","19","0.475","21","0.525"
"124","0","40","12","0.3","28","0.7"
"125","0","40","19","0.475","21","0.525"
"126","1","20","8","0.4","12","0.6"
"127","0","40","26","0.65","14","0.35"
"128","0","40","23","0.575","17","0.425"
"129","1","50","25","0.5","25","0.5"
"130","1","40","14","0.35","26","0.65"
"131","1","40","20","0.5","20","0.5"
"132","1","60","33","0.55","27","0.45"
"133","1","30","12","0.4","18","0.6"
"134","0","40","14","0.35","26","0.65"
"135","0","40","8","0.2","32","0.8"
"136","0","40","15","0.375","25","0.625"
"137","0","40","6","0.15","34","0.85"
"138","0","40","10","0.25","30","0.75"
"139","0","40","6","0.15","34","0.85"
"140","1","40","20","0.5","20","0.5"
"141","1","40","28","0.7","12","0.3"
"142","1","20","10","0.5","10","0.5"
"143","0","40","20","0.5","20","0.5"
"144","1","30","6","0.2","24","0.8"
"145","1","60","31","0.5166666666666667","29","0.48333333333333334"
"146","1","50","22","0.44","28","0.56"
"147","0","40","19","0.475","21","0.525"
"148","0","40","19","0.475","21","0.525"
"149","0","40","8","0.2","32","0.8"
"150","1","40","15","0.375","25","0.625"
"151","0","40","19","0.475","21","0.525"
"152","0","40","18","0.45","22","0.55"
"153","1","60","40","0.6666666666666666","20","0.3333333333333333"
"154","1","30","10","0.3333333333333333","20","0.6666666666666666"
"155","1","40","20","0.5","20","0.5"
"156","1","50","30","0.6","20","0.4"
"157","1","20","0","0.0","20","1.0"
"158","0","40","11","0.275","29","0.725"
"159","0","40","13","0.325","27","0.675"
"160","0","40","11","0.275","29","0.725"
"161","0","40","22","0.55","18","0.45"
"162","0","40","21","0.525","19","0.475"
"163","0","40","18","0.45","22","0.55"
"164","1","40","4","0.1","36","0.9"
"165","1","50","37","0.74","13","0.26"
"166","1","30","10","0.3333333333333333","20","0.6666666666666666"
"167","1","60","34","0.5666666666666667","26","0.43333333333333335"
"168","1","20","6","0.3","14","0.7"
"169","1","20","0","0.0","20","1.0"
"170","1","40","22","0.55","18","0.45"
"171","1","40","26","0.65","14","0.35"
"172","1","40","18","0.45","22","0.55"
"173","1","50","25","0.5","25","0.5"
"174","1","30","17","0.5666666666666667","13","0.43333333333333335"
"175","1","60","30","0.5","30","0.5"
"176","0","40","10","0.25","30","0.75"
"177","0","40","26","0.65","14","0.35"
"178","0","40","18","0.45","22","0.55"
"179","0","40","18","0.45","22","0.55"
"180","1","50","12","0.24","38","0.76"
"181","0","40","20","0.5","20","0.5"
"182","0","40","16","0.4","24","0.6"
"183","1","20","8","0.4","12","0.6"
"184","1","40","24","0.6","16","0.4"
"185","0","40","28","0.7","12","0.3"
"186","1","40","14","0.35","26","0.65"
"187","1","60","34","0.5666666666666667","26","0.43333333333333335"
"188","1","30","14","0.4666666666666667","16","0.5333333333333333"
"189","0","40","8","0.2","32","0.8"
"190","0","40","18","0.45","22","0.55"
"191","0","40","16","0.4","24","0.6"
"192","0","40","20","0.5","20","0.5"
"193","0","40","18","0.45","22","0.55"
"194","1","30","10","0.3333333333333333","20","0.6666666666666666"
"195","1","50","24","0.48","26","0.52"
"196","1","40","30","0.75","10","0.25"
"197","0","40","22","0.55","18","0.45"
"198","0","40","18","0.45","22","0.55"
"199","1","40","30","0.75","10","0.25"
"200","1","60","20","0.3333333333333333","40","0.6666666666666666"
"201","0","40","12","0.3","28","0.7"
"202","0","40","22","0.55","18","0.45"
"203","1","20","2","0.1","18","0.9"
"204","0","40","24","0.6","16","0.4"
"205","0","40","12","0.3","28","0.7"
"206","1","60","26","0.43333333333333335","34","0.5666666666666667"
"207","1","30","24","0.8","6","0.2"
"208","1","40","26","0.65","14","0.35"
"209","1","50","12","0.24","38","0.76"
"210","0","40","18","0.45","22","0.55"
"211","0","40","18","0.45","22","0.55"
"212","1","40","24","0.6","16","0.4"
"213","1","20","2","0.1","18","0.9"
"214","0","40","24","0.6","16","0.4"
"215","0","40","20","0.5","20","0.5"
"216","0","40","12","0.3","28","0.7"
"217","0","40","22","0.55","18","0.45"
"218","1","60","36","0.6","24","0.4"
"219","1","20","6","0.3","14","0.7"
"220","1","40","22","0.55","18","0.45"
"221","1","40","16","0.4","24","0.6"
"222","1","30","16","0.5333333333333333","14","0.4666666666666667"
"223","0","40","18","0.45","22","0.55"
"224","1","50","20","0.4","30","0.6"
"225","0","40","6","0.15","34","0.85"
"226","0","40","30","0.75","10","0.25"
"227","0","40","24","0.6","16","0.4"
"228","1","50","30","0.6","20","0.4"
"229","0","40","22","0.55","18","0.45"
"230","1","20","16","0.8","4","0.2"
"232","1","60","22","0.36666666666666664","38","0.6333333333333333"
"233","1","40","8","0.2","32","0.8"
"234","0","40","24","0.6","16","0.4"
"235","0","40","18","0.45","22","0.55"
"236","1","30","0","0.0","30","1.0"
"237","1","40","24","0.6","16","0.4"
"238","0","40","22","0.55","18","0.45"
"239","0","40","12","0.3","28","0.7"
"240","0","40","8","0.2","32","0.8"
"242","1","30","0","0.0","30","1.0"
"243","1","40","14","0.35","26","0.65"
"244","1","60","30","0.5","30","0.5"
"245","1","20","8","0.4","12","0.6"
"246","1","50","24","0.48","26","0.52"
"247","1","40","28","0.7","12","0.3"
"248","0","40","28","0.7","12","0.3"
"249","0","40","8","0.2","32","0.8"
"250","0","40","24","0.6","16","0.4"
"251","0","40","10","0.25","30","0.75"
"252","1","20","10","0.5","10","0.5"
"253","0","40","22","0.55","18","0.45"
"254","1","40","20","0.5","20","0.5"
"255","0","40","20","0.5","20","0.5"
"256","1","30","0","0.0","30","1.0"
"257","1","50","28","0.56","22","0.44"
"258","1","60","44","0.7333333333333333","16","0.26666666666666666"
"259","1","40","18","0.45","22","0.55"
"260","0","40","20","0.5","20","0.5"
"261","0","40","18","0.45","22","0.55"
"262","0","40","22","0.55","18","0.45"
"263","0","40","20","0.5","20","0.5"
